timestamp -> D4,D7Π,D17,D12Π,D13,D11Π,D20,D22Π,D23,D19Π,D21,D18Π,D14,D15Π,D10,D16Π,Class
19:11:15.643 -> 404,2525,4095,4095,4095,4095,4095,4095,3228,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.643 -> 2834,3318,4095,4095,4095,4095,4095,4095,2576,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.691 -> 2878,3265,4095,4095,4095,4095,4095,4095,2427,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.691 -> 2799,3193,4095,4095,4095,4095,4095,4095,2135,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.691 -> 2455,2271,4095,4095,4095,4095,4095,4095,1630,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.691 -> 2317,2167,3860,4095,4095,4095,4095,4095,1391,4095,3823,4095,4095,4095,2819,4095,0
19:11:15.691 -> 1913,2076,2995,4095,4095,4095,4095,4095,1062,4095,3112,3793,4095,4095,2382,4095,0
19:11:15.691 -> 1776,1961,2611,4095,4095,4095,3859,4095,912,4095,2823,2609,4095,4095,0,4095,0
19:11:15.737 -> 188,68,1534,2596,605,1302,536,1993,689,4095,0,1117,176,4095,423,4095,0
19:11:15.737 -> 302,227,1971,4095,2541,3738,169,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.737 -> 2665,2602,4095,4095,4095,4095,4095,4095,2611,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.737 -> 2726,3277,4095,4095,4095,4095,4095,4095,2525,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.737 -> 2691,3231,4095,4095,4095,4095,4095,4095,2079,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.737 -> 2652,2511,4095,4095,4095,4095,4095,4095,1691,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.737 -> 2172,2176,4053,4095,4095,4095,4095,4095,1462,4095,4095,4095,4095,4095,3743,4095,0
19:11:15.785 -> 1831,2059,3347,4095,4095,4095,4095,4095,1074,4095,3570,4078,4095,4095,2625,4095,0
19:11:15.785 -> 1744,2003,2760,4095,4095,4095,4095,4095,995,4095,2637,3549,4095,4095,1799,4095,0
19:11:15.785 -> 1744,1927,2346,4095,4095,4095,3499,4095,533,4095,0,227,305,4095,0,3502,0
19:11:15.785 -> 218,213,896,2942,1988,178,1472,2192,45,4095,734,0,217,4095,40,3266,0
19:11:15.785 -> 457,1962,1886,4095,4095,4095,4095,4095,3282,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.785 -> 2837,3291,4095,4095,4095,4095,4095,4095,2631,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.785 -> 2682,3251,4095,4095,4095,4095,4095,4095,2465,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.831 -> 2682,3183,4095,4095,4095,4095,4095,4095,2167,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.831 -> 2672,2402,4095,4095,4095,4095,4095,4095,1807,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.831 -> 2203,2187,3815,4095,4095,4095,4095,4095,1386,4095,4095,4095,4095,4095,2922,4095,0
19:11:15.831 -> 1966,2075,3468,4095,4095,4095,4095,4095,1051,4095,3158,4083,4095,4095,2534,4095,0
19:11:15.831 -> 1861,2013,3001,4095,4095,4095,4095,4095,1083,4095,2770,3317,4095,4095,0,4095,0
19:11:15.831 -> 385,217,0,1624,472,1432,0,2283,467,4095,0,0,690,4095,439,3543,0
19:11:15.831 -> 434,1677,1492,4095,2527,2082,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 2749,2733,4095,4095,4095,4095,4095,4095,2580,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 2783,3274,4095,4095,4095,4095,4095,4095,2545,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 2731,3251,4095,4095,4095,4095,4095,4095,2519,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 2739,2559,4095,4095,4095,4095,4095,4095,1910,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 2326,2183,3915,4095,4095,4095,4095,4095,1417,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.878 -> 1977,2079,3616,4095,4095,4095,4095,4095,1104,4095,3477,4095,4095,4095,2640,4095,0
19:11:15.878 -> 1859,2018,3024,4095,4095,4095,4095,4095,967,4095,2867,3568,4095,4095,2259,4095,0
19:11:15.925 -> 1487,1871,2445,4095,4095,4095,4095,4095,111,4095,848,974,140,4095,55,3790,0
19:11:15.925 -> 240,97,1756,2043,824,806,59,2228,188,4095,0,795,294,4095,241,4095,0
19:11:15.925 -> 412,2139,2942,4095,4095,4095,4095,4095,3382,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.925 -> 2819,3326,4095,4095,4095,4095,4095,4095,2610,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.925 -> 2846,3273,4095,4095,4095,4095,4095,4095,2571,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.925 -> 3007,3226,4095,4095,4095,4095,4095,4095,2329,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.925 -> 2700,2516,4095,4095,4095,4095,4095,4095,1627,4095,4095,4095,4095,4095,4095,4095,0
19:11:15.971 -> 2238,2170,3894,4095,4095,4095,4095,4095,1506,4095,4095,4095,4095,4095,2887,4095,0
19:11:15.971 -> 1925,2054,3317,4095,4095,4095,4095,4095,1106,4095,3358,4095,4095,4095,2493,4095,0
